70702,Not applicable,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Audiobook', 'Adult Fiction', 'Relationships']",Not applicable,whiter than snow,"From The New York Times bestselling author of Prayers for Sale comes the moving and powerful story of a small town after a devastating avalanche, and the life changing effects it has on the people who live there Whiter Than Snow opens in 1920, on a spring afternoon in Swandyke, a small town near Colorado's Tenmile Range. Just moments after four o'clock, a large split of snow separates from Jubilee Mountain high above the tiny hamlet and hurtles down the rocky slope, enveloping everything in its path including nine young children who are walking home from school. But only four children survive. Whiter Than Snow takes you into the lives of each of these There's Lucy and Dolly Patch—two sisters, long estranged by a shocking betrayal. Joe Cobb, Swandyke's only black resident, whose love for his daughter Jane forces him to flee Alabama. There's Grace Foote, who hides secrets and scandal that belies her genteel façade. And Minder Evans, a civil war veteran who considers his cowardice his greatest sin. Finally, there's Essie Snowball, born Esther Schnable to conservative Jewish parents, but who now works as a prostitute and hides her child's parentage from all the world. Ultimately, each story serves as an allegory to the greater theme of the novel by echoing that fate, chance, and perhaps even divine providence, are all woven into the fabric of everyday life. And it's through each character's defining moment in his or her past that the reader understands how each child has become its parent's purpose for living. In the end, it's a novel of forgiveness, redemption, survival, faith and family.",sandra dallas,"Award-winning author SANDRA DALLAS was dubbed “a quintessential American voice” by Jane Smiley, in Vogue Magazine. Sandra’s novels with their themes of loyalty, friendship, and human dignity have been translated into a dozen foreign languages and have been optioned for films.A journalism graduate of the University of Denver, Sandra began her writing career as a reporter with Business Week. A staff member for twenty-five years (and the magazine’s first female bureau chief,) she covered the Rocky Mountain region, writing about everything from penny-stock scandals to hard-rock mining, western energy development to contemporary polygamy. Many of her experiences have been incorporated into her novels. While a reporter, she began writing the first of ten nonfiction books. They include Sacred Paint, which won the National Cowboy Hall of Fame Western Heritage Wrangler Award, and The Quilt That Walked to Golden, recipient of the Independent Publishers Assn. Benjamin Franklin Award.Turning to fiction in 1990, Sandra has published eight novels, including Prayers For Sale. Sandra is the recipient of the Women Writing the West Willa Award for New Mercies, and two-time winner of the Western Writers of America Spur Award, for The Chili Queen and Tallgrass. In addition, she was a finalist for the Colorado Book Award, the Mountain and Plains Booksellers Assn. Award, and a four-time finalist for the Women Writing the West Willa Award.The mother of two daughters—Dana is an attorney in New Orleans and Povy is a photographer in Golden, Colorado—Sandra lives in Denver with her husband, Bob.http://us.macmillan.com/author/sandra... ",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1276294358i%2F74078._CR0%2C54%2C200%2C200_.jpg&w=256&q=75,304,3.86,4472,723,,Missing,https://www.goodreads.com/book/show/10067046-whiter-than-snow,"['1,035 (23%)', '2,044 (45%)', '1,161 (25%)', '198 (4%)', '34 (<1%)']",3565,117,,
70703,Not applicable,"['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Fiction', 'Regency', 'Enemies To Lovers']",Not applicable,"whitney, my love","Fresh from her triumphs in Paris society, Whitney Stone returns to England determined to win the heart of her childhood love. However, in order to save himself from ruin, her father has come to an arrangement with the arrogant Duke of Claymore, and Whitney is the price.--This text refers to an out of print or unavailable edition of this title.",judith mcnaught,"You can find Judith McNaught in facebook: https://www.facebook.com/authorjudith...Judith McNaught is a #1 New York Times Best-Selling Author, with more than forty million copies of her novels in print, in over eighty countries and more than thirty languages. She was also the first female executive producer at a CBS radio station. McNaught is credited with inventing the modern Regency Historical romance subgenre.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1670890212i%2F9885._UX200_CR0%2C9%2C200%2C200_.jpg&w=256&q=75,736,4.11,38315,2832,,Missing,https://www.goodreads.com/book/show/350684.Whitney_My_Love,"['18,471 (48%)', '10,675 (27%)', '5,701 (14%)', '1,982 (5%)', '1,486 (3%)']",14296,2213,,
70704,Not applicable,"['Business', 'Management', 'Nonfiction', 'Leadership', 'Entrepreneurship', 'Historical Romance', 'Buisness']",Not applicable,who,"In this instant New York Times Bestseller, Geoff Smart and Randy Street provide a simple, practical, and effective solution to what The Economist calls “the single biggest problem in business today”: unsuccessful hiring. The average hiring mistake costs a company $1.5 million or more a year and countless wasted hours. This statistic becomes even more startling when you consider that the typical hiring success rate of managers is only 50 percent. The silver lining is that “who” problems are easily preventable. Based on more than 1,300 hours of interviews with more than 20 billionaires and 300 CEOs, Who presents Smart and Street’s A Method for Hiring. Refined through the largest research study of its kind ever undertaken, the A Method stresses fundamental elements that anyone can implement–and it has a 90 percent success rate.Whether you’re a member of a board of directors looking for a new CEO, the owner of a small business searching for the right people to make your company grow, or a parent in need of a new babysitter, it’s all about Who. Inside you’ll learn how to• avoid common “voodoo hiring” methods• define the outcomes you seek• generate a flow of A Players to your team–by implementing the #1 tactic used by successful businesspeople• ask the right interview questions to dramatically improve your ability to quickly distinguish an A Player from a B or C candidate• attract the person you want to hire, by emphasizing the points the candidate cares about mostIn business, you are who you hire. In Who, Geoff Smart and Randy Street offer simple, easy-to-follow steps that will put the right people in place for optimal success.From the Hardcover edition.",geoff smart,"Dr. Geoff Smart is Chairman & Founder of ghSMART, a leadership consulting firm that serves Fortune 500 CEOs and boards, billionaire entrepreneurs, and heads of state. He is the New York Times bestselling author of Who, Leadocracy, and Power Score: Your Formula for Leadership Success.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1517951819i%2F1312655._UX200_CR0%2C25%2C200%2C200_.jpg&w=256&q=75,210,3.96,7230,491,,Missing,https://www.goodreads.com/book/show/9344385-who,"['2,457 (33%)', '2,701 (37%)', '1,561 (21%)', '370 (5%)', '141 (1%)']",9898,1511,,
70705,Not applicable,"['Young Adult', 'Short Stories', 'Fiction', 'Realistic Fiction', 'Romance', 'Teen', 'African American']",Not applicable,who am i without him?,"A powerful, provocative short story collection about teens in love, from award-winning author Sharon G. Flake.There is ""The Ugly One,"" whose only solace comes when she is locked inside her own head. In ""Wanted: A Thug,"" a teenager seeks advice on how to steal her best friend's bad-guy boyfriend. And then there's Erika, who only likes white boys.​Sharon Flake takes readers through the minds of girls trying to define themselves while struggling to remain relevant to the boys in their lives. This is a complex, often humorous, always on-point exposition of black youth resolving to find self-worth . . . any way they know how.So I ain't no good girl --Girl, didn't I say I don't write letters? --The ugly one --Mookie in love --Don't be disrespecting me --I like white boys --Jacob's rules --I know a stupid boy when I see one --Hunting for boys --Wanted : a thug --Not a boy --A letter to my daughter",sharon g. flake,"Sharon G. Flake is the author of five books, The Skin I'm In (1998), Money Hungry (2002), Begging for Change (2003), Who Am I Without Him? Short Stories About Boys and the Girls in Their Lives (2004), Bang! (Sept. 2005), and her latest novel The Broken Bike Boy and the Queen of 33rd Street (2007).Her work is used in public and private schools around the nation, from elementary to high school, and is often required reading in colleges for students in education, child development, children's literature and English writing programs. Beyond that, her work is also a favorite among adults and adult book club readers.Flake and her work have won numerous awards and recognitions including: Best Books for Young Adult Readers; Quick Pick for Reluctant Readers; the New York Public Library Top Ten Books for the Teen Age; 2005 featured author in the Ninth Book of Junior Authors & Illustrators; 2005 Capitol Choices; Noteworthy Books for Children; 2004 Chicago Public Library's Best of the Best Book; 2004 Texas Lone Star Award for Top Ten Books; 2002, 2004 Coretta Scott King Honor Award; Pennsylvania Council of the Arts Grant; 2004 Bank Street Best of the Year; 2004 Bulletin Blue Ribbon Book; 2004 CCBC Choices; Booklist Top Ten Fantasy Book; 2004 Booklist Top Ten Romance Novels for Youth; 2004 Booklist Editor's Choice Award; 2003 Detroit Free LIbrary Author of the Year; 1999 YWCA Racial Justice Award; 1999 Coretta Scott King-John Steptoe New Talent Award and more.Flake's work appears on the Anti-Defamation League's website which stresses the use of children's literature to help educators address the problem of bullying in schools.Flake was born in Philadelphia, PA, but has resided in Pittsburgh, PA with her daughter for many years. She is a graduate of the University of Pittsburgh with a BA in English. For several years she was a youth counselor for a foster care agency, after which she spent 18 years working at the University of Pittsburgh in public relations. She has written numerous articles for national publications. Prior to having her first book published, she wrote for approximately 15 years.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1193783109i%2F69480._UX200_CR0%2C15%2C200%2C200_.jpg&w=256&q=75,224,4.14,2085,345,,Missing,https://www.goodreads.com/book/show/2110847.Who_Am_I_Without_Him_,"['1,031 (49%)', '521 (24%)', '373 (17%)', '114 (5%)', '46 (2%)']",1833,157,,
70706,Not applicable,"['Christian Fiction', 'Christian', 'Romance', 'Historical Fiction', 'Fiction', 'Christian Romance', 'Historical']",Not applicable,who brings forth the wind,"Tanner Richardson, the volatile duke of Cambridge, sees his wife with another man. Misinterpreting the situation, he erupts in rage and throws her and their unborn baby out. Tanner’s anger smolders—until the night he is shot….",lori wick,"FROM THE PUBLISHER:Lori Wick is known as one of the most versatile Christian fiction writers on the market today. From pioneer fiction to a series set in Victorian England to a contemporary novel, Lori's books (over 5 million in print) continue to delight readers and top the Christian bestselling fiction list. Lori and her husband, Bob, live in Wisconsin with ""the three coolest kids in the world.""",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1372085851i%2F10679.jpg&w=256&q=75,396,4.19,5334,108,,Missing,https://www.goodreads.com/book/show/1258301.Who_Brings_Forth_the_Wind,"['2,525 (47%)', '1,626 (30%)', '899 (16%)', '214 (4%)', '70 (1%)']",1444,101,,
70707,Not applicable,"['Mystery', 'Fiction', 'Fantasy', 'Humor', 'Crime', 'Audiobook', 'Noir']",Not applicable,who censored roger rabbit?,"“Who’d want to kill a dumb cartoon bunny?”That’s what Eddie Valiant wants to know. He’s the toughest private eye in Los Angeles, and he’ll handle anything – if you’re human. If you’re a Toon, that’s another story.Eddie doesn’t like Toons – those cartoon characters who live side-by-side with humans. Not the way they look, and especially not the way they word-filled balloons come out of their mouths and then disintegrate, leaving dust all over his rug.Eddie will work for a Toon if his cash supply is low enough. So he reluctantly agrees when Roger Rabbit, a Toon who plays straight man (or should that be straight rabbit) in the Baby Herman cartoon series, asks him to find out who’s been trying – unsuccessfully – to buy his contract from the DeGreasy Brothers syndicate.Then Rocco DeGreasy is murdered – and Roger is the prime suspect! The rabbit is also, as Eddie soon discovers, very, very dead.Who censored Roger Rabbit? And who shot Rocco DeGreasy? Was it Roger, or was it Rocco’s hot-cha-cha girlfriend, Jessica Rabbit? Why had Jessica – a pretty steamy number for a Toon – ever married a dopey bunny in the first place? And why does everybody want Roger’s battered old teakettle?As Eddie combs L.A. from the executive suites of the DeGreasy Brothers to Sid Sleaze’s porno comic studio, he uncovers art thefts, blackmail plots….and the cagiest killer he’s ever faced.In Who Censored Roger Rabbit?, author Gary K. Wolf has created a wonderfully skewed – and totally believable – world compounded of equal parts Raymond Chandler, Lewis Carroll, and Walt Disney. This riotously surreal spoof of the hard-boiled detective novel is packed with action and laughs. From first page to last, Who Censored Roger Rabbit? is shear delight.Celebrated author Gary K. Wolf’s cult classic and highly praised novel Who Censored Roger Rabbit? is the basis for the blockbuster Walt Disney/Steven Spielberg Academy Award winning film Who Framed Roger Rabbit.This version includes an author’s sketch of Roger Rabbit PLUS autographs of Gary K. Wolf AND Roger Rabbit himself!The detective on the cover is portrayed by Mr. Wolf.",gary k. wolf,Gary Kenneth Wolf,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fnophoto%2Fuser%2Fu_700x933.png&w=256&q=75,252,3.71,3920,530,,Missing,https://www.goodreads.com/book/show/27701558-who-censored-roger-rabbit,"['834 (21%)', '1,526 (38%)', '1,228 (31%)', '269 (6%)', '63 (1%)']",5355,303,,
70708,Not applicable,"['Nonfiction', 'History', 'Feminism', 'Womens', 'Historical', 'Gender', 'Politics']",Not applicable,who cooked the last supper,"Men dominate history because they write it. Women’s vital part in the shaping of the world has been consistently undervalued or ignored. Rosalind Miles now offers a fundamental reappraisal that sets the record straight. Stunning in its scope and originality, The Women’s History of the World challenges all previous world histories and shatters cherished illusions on every page.Starting with women in pre-history the author looks beyond the myth of ‘Man the Hunter’ to reveal women’s central role in the survival and evolution of the human race. She follows their progress from the days when God was a woman through to the triumphs of the Amazons and Assyrian war queens: she looks at the rise of organised religion and the growing oppression of women: she charts the long slow struggle for women’s rights culminating in the twentieth century women’s movements: and finally she presents a vision of women breaking free.This brilliant and absorbing book turns the spotlight on the hidden side of history to present a fascinating new view of the world, overturning our preconceptions to restore women to their rightful place at the centre of the worldwide story of revolution, empire, war and peace.Spiced with tales of individual women who have shaped history, celebrating the work and lives of the unsung female millions, distinguished by a wealth of research, The Women’s History of the World redefines the concept of historical reality.",rosalind miles,"Rosalind Miles is an author born and raised in England and now living in both Los Angeles and Kent, England. She has written both works of fiction and non-fiction. As a child, Miles suffered from polio, and had to undergo several months of treatment. After being accepted to a junior women's college, Miles acquired a working knowledge of Latin and Greek, along with developing her life-long love of Shakespeare. At seventeen, she was promoted to St. Hilda's College, Oxford where she studied English literature, Anglo-Saxon, Middle English, Latin and French. She obtained five degrees in all, ending with a Ph.D. from the Shakespeare Institute at the University of Birmingham.Miles later on became interested in jurisprudence, which resulted in her sitting as a lay magistrate in the English criminal and family courts, and eventually on the bench in a superior court in Coventry. She is also a regular commentator on the BBC, on Canadian Radio, and in The Times.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1206543443i%2F13891.jpg&w=256&q=75,352,3.8,4054,594,,Missing,https://www.goodreads.com/book/show/56354.Who_Cooked_the_Last_Supper_,"['1,241 (30%)', '1,392 (34%)', '938 (23%)', '339 (8%)', '144 (3%)']",39171,1615,,
70709,Not applicable,"['Fiction', 'Romance', 'Chick Lit', 'Audiobook', 'Contemporary', 'Adult', 'Book Club']",Not applicable,who do you love,"Rachel Blum and Andy Landis are eight years old when they meet late one night in an ER waiting room. Born with a congenital heart defect, Rachel is a veteran of hospitals, and she's intrigued by the boy who shows up all alone with a broken arm. He tells her his name. She tells him a story. After Andy's taken back to the emergency room and Rachel's sent back to her bed, they think they'll never see each other again.Rachel, the beloved, popular, and protected daughter of two doting parents, grows up wanting for nothing in a fancy Florida suburb. Andy grows up poor in Philadelphia with a single mom and a rare talent that will let him become one of the best runners of his generation.Over the course of three decades, through high school and college, marriages and divorces, from the pinnacles of victory and the heartbreak of defeat, Andy and Rachel will find each other again and again, until they are finally given a chance to decide whether love can surmount difference and distance and if they've been running toward each other all along.With honesty, wit, and clear-eyed observations about men and women, love and fate, and the truth about happy endings, Jennifer Weiner delivers two of her most memorable characters, and a love story you'll never forget.",jennifer weiner,"Jennifer Weiner is the #1 New York Times bestselling author of eighteen books, including Good in Bed, In Her Shoes, and, most recently, That Summer. A graduate of Princeton University, she lives with her family in Philadelphia. Visit her online at JenniferWeiner.com.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1635872515i%2F9212._UY200_CR46%2C0%2C200%2C200_.jpg&w=256&q=75,385,3.77,44417,3706,,Missing,https://www.goodreads.com/book/show/26197702-who-do-you-love,"['9,805 (22%)', '18,592 (41%)', '12,837 (28%)', '2,520 (5%)', '663 (1%)']",30989,2665,,
70710,Not applicable,"['Short Stories', 'Fiction', 'Canada', 'Nobel Prize', 'Canadian Literature', 'Book Club', 'Literary Fiction']",Not applicable,who do you think you are?,"Libro usado en buenas condiciones, por su antiguedad podria contener señales normales de uso",alice munro,"Collections of short stories of noted Canadian writer Alice Munro of life in rural Ontario include 
Dance of the Happy Shades
 (1968) and 
Moons of Jupiter
 (1982); for these and vivid novels, she won the Nobel Prize of 2013 for literature. People widely consider her premier fiction of the world. Munro thrice received governor general's award. She focuses on human relationships through the lens of daily life. People thus refer to this ""the Canadian Chekhov.""(Arabic: أليس مونرو)(Persian: آلیس مانرو)(Russian Cyrillic: Элис Манро)(Ukrainian Cyrillic: Еліс Манро)(Bulgarian Cyrillic: Алис Мънро)(Slovak: Alice Munroová)(Serbian: Alis Manro)",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1494056984i%2F6410._UY200_CR11%2C0%2C200%2C200_.jpg&w=256&q=75,256,3.9,7137,746,,Missing,https://www.goodreads.com/book/show/1359051.Who_Do_You_Think_You_Are_,"['2,142 (30%)', '2,814 (39%)', '1,652 (23%)', '410 (5%)', '119 (1%)']",10743,429,,
70711,Not applicable,"['Fantasy', 'Fiction', 'Science Fiction', 'Africa', 'Dystopia', 'Post Apocalyptic', 'Science Fiction Fantasy']",Not applicable,who fears death,"An award-winning literary author presents her first foray into supernatural fantasy with a novel of post-apocalyptic Africa.  In a far future, post-nuclear-holocaust Africa, genocide plagues one region. The aggressors, the Nuru, have decided to follow the Great Book and exterminate the Okeke. But when the only surviving member of a slain Okeke village is brutally raped, she manages to escape, wandering farther into the desert. She gives birth to a baby girl with hair and skin the color of sand and instinctively knows that her daughter is different. She names her daughter Onyesonwu, which means ""Who Fears Death?"" in an ancient African tongue. Reared under the tutelage of a mysterious and traditional shaman, Onyesonwu discovers her magical destiny – to end the genocide of her people. The journey to fulfill her destiny will force her to grapple with nature, tradition, history, true love, the spiritual mysteries of her culture – and eventually death itself.",nnedi okorafor,"Nnedi Okorafor is a New York Times Bestselling writer of science fiction and fantasy for both children and adults. The more specific terms for her works are africanfuturism and africanjujuism, both terms she coined and defined. Born in the United States to two Nigerian (Igbo) immigrant parents and visiting family in Nigeria since she was a child, the foundation and inspiration of Nnedi’s work is rooted in this part of Africa. Her many works include Who Fears Death (winner of the World Fantasy Award and in development at HBO as a TV series), the Nebula and Hugo award winning novella trilogy Binti (in development as a TV series), the Lodestar and Locus Award winning Nsibidi Scripts Series, LaGuardia (winner of a Hugo and Eisner awards for Best Graphic Novel) and her most recent novella Remote Control. Her debut novel Zahrah the Windseeker won the prestigious Wole Soyinka Prize for Literature. She lives with her daughter Anyaugo in Phoenix, AZ. Learn more about Nnedi at Nnedi.com and follow Nnedi on twitter (as @Nnedi), Facebook and Instagram.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1507148868i%2F588356._UY200_CR49%2C0%2C200%2C200_.jpg&w=256&q=75,386,3.93,27600,3618,,Missing,https://www.goodreads.com/book/show/7767021-who-fears-death,"['9,126 (33%)', '10,353 (37%)', '5,796 (21%)', '1,808 (6%)', '517 (1%)']",57459,2109,,
