book
"the great transition, nick fuller googins"
"barefoot in the sand, roxanne st. claire"
"a soft place to fall, barbara bretton"
"the stinky cheese man and other fairly stupid tales, jon scieszka"
"the guard, pittacus lore"
"the year of secret assignments, jaclyn moriarty"
"time jumpers, brandon mull"
"pandora / vittorio the vampire, anne rice"
"carmilla, j. sheridan le fanu"
"the selection stories, kiera cass"
"paradise kiss, vol. 5, ai yazawa"
"words in deep blue, cath crowley"
"zodiac, neal stephenson"
"when true night falls, c.s. friedman"
"i love the earl, caroline linden"
"krysař, viktor dyk"
"temple of the winds, terry goodkind"
"shadow rider, christine feehan"
"hood, stephen r. lawhead"
"worlds, joe haldeman"
"now we are six, a.a. milne"
"shark heart, emily habeck"
"dungeons & dragons, r.a. salvatore"
"dangerous highlander, donna grant"
"faro's daughter, georgette heyer"
"wicked, nancy holder"
"along for the ride, sarah dessen"
"warriors of the storm, bernard cornwell"
"small spaces, katherine arden"
"the identicals, elin hilderbrand"
"are these my basoomas i see before me?, louise rennison"
"king kelson's bride, katherine kurtz"
"light of the jedi, charles soule"
"whisper, alyson noel"
"house of many ways, diana wynne jones"
"the darkest torment, gena showalter"
"when i'm gone, emily bleeker"
"human.4, mike a. lancaster"
"cast in fury, michelle sagara"
"rosemary’s baby, ira levin"
"feel again, mona kasten"
"wings of fire, tui t. sutherland"
"master of solitude, cherise sinclair"
"fair game, monica murphy"
"annabel, kathleen winter"
"what happens after midnight, k.l. walther"
"revved, samantha towle"
"on the rocks, erin duffy"
"gläsernes schwert, victoria aveyard"
"briar's book, tamora pierce"
"forgotten, catherine mckenzie"
"the plastic magician, charlie n. holmberg"
"the prada plan 4, ashley antoinette"
"love hina, vol. 01, ken akamatsu"
"from lukov with love, mariana zapata"
"going bovine, libba bray"
"cryptic cravings, ellen schreiber"
"wojna w blasku dnia. księga i, peter v. brett"
"shark bait, jenn cooksey"
"hyde and seek, layla frost"
"from thin air, carolyn brown"
"irish fairy and folk tales, w.b. yeats"
"delilah dirk and the turkish lieutenant, tony cliff"
"two for the dough, janet evanovich"
"guilty pleasures, laurell k. hamilton"
"truly madly yours, rachel gibson"
"dealing with dragons, patricia c. wrede"
"burn, ted dekker"
"love, hate & other filters, samira ahmed"
"the merchant's daughter, melanie dickerson"
"everything for her, alexa riley"
"destrózame, tahereh mafi"
"the authority, vol. 1, warren ellis"
"nerilka's story, anne mccaffrey"
"thor, vol. 1, j. michael straczynski"
"out of the dark, geri foster"
"jewel of atlantis, gena showalter"
"with all my soul, rachel vincent"
"blood magick, nora roberts"
"everything's eventual, stephen king"
"tool, sabrina paige"
"the secret, elizabeth hunter"
"when the sea is rising red, cat hellisen"
"pandora's star, peter f. hamilton"
"the chronicles of chrestomanci, volume 1, diana wynne jones"
"death in the stocks, georgette heyer"
"emma, vol. 06, kaoru mori"
"rubyfruit jungle, rita mae brown"
"all good things..., michael jan friedman"
"tempting the beast, lora leigh"
"the bette davis club, jane lotter"
"megatokyo, volume 1, fred gallagher"
"sourdough, robin sloan"
"dark one, brandon sanderson"
"leaving, karen kingsbury"
"cloud nine, luanne rice"
"dream chaser, sherrilyn kenyon"
"slaves of socorro, john flanagan"
"if you come softly, jacqueline woodson"
"wandfasted, laurie forest"
"sofia khan is not obliged, ayisha malik"
"girl walking backwards, bett williams"
"betrayal, aleatha romig"
"grey, jon armstrong"
"lucky in love, jill shalvis"
"the way of kings, brandon sanderson"
"dating without novocaine, lisa cach"
"surviving ice, k.a. tucker"
"apple and rain, sarah crossan"
"groupie, c.m. stunich"
"shadow on the crown, patricia bracewell"
"nightfall, penelope douglas"
"the eternal kiss, trisha telep"
"rocky mountain heat, vivian arend"
"the age of innocence, edith wharton"
"just above my head, james baldwin"
"sea of swords, r.a. salvatore"
"fangirl, vol. 2, sam maggs"
"the astonishing color of after, emily x.r. pan"
"penelope, anya wylde"
"seasons of war, daniel abraham"
"cirque du freak, darren shan"
"all the little lights, jamie mcguire"
"the emperor of any place, tim wynne-jones"
"the primarchs, christian dunn"
"perfect opposite, zoya tessi"
"the wind in the willows, kenneth grahame"
"harry potter e il principe mezzosangue, j.k. rowling"
"holiday in death, j.d. robb"
"cartas de amor aos mortos, ava dellaira"
"jemima j, jane green"
"the monster in the hollows, andrew peterson"
"fairest, marissa meyer"
"thirty-five and a half conspiracies, denise grover swank"
"the truth about ever after, rachel schurig"
"wards of faerie, terry brooks"
"shopaholic & baby, sophie kinsella"
"when darkness falls, mercedes lackey"
"the lilac bouquet, carolyn brown"
"too like the lightning, ada palmer"
"mistborn trilogy boxed set, brandon sanderson"
"brilliance, marcus sakey"
"what i thought was true, huntley fitzpatrick"
"when i'm with you, harper sloan"
"tintenblut, cornelia funke"
"to love and to cherish, lauren layne"
"merlin, stephen r. lawhead"
"p.g. county, connie briscoe"
"bayou moon, ilona andrews"
"girl online, zoe sugg"
"the best laid plans, sidney sheldon"
"when you're back, abbi glines"
"grave witch, kalayna price"
"prada & prejudice, mandy hubbard"
"her sanctuary, toni anderson"
"getting to happy, terry mcmillan"
"it's not summer without you, jenny han"
"sunwing, kenneth oppel"
"fire after dark, sadie matthews"
"blue lily, lily blue, maggie stiefvater"
"granite man, elizabeth lowell"
"the return of tarzan, edgar rice burroughs"
"shelter from the storm, calle j. brookes"
"black girl, call home, jasmine mans"
"the prisoner of zenda, anthony hope"
"true love story, willow aster"
"the naked god, peter f. hamilton"
"mutineer, mike shepherd"
"fault lines, anne rivers siddons"
"nauti boy, lora leigh"
"house of ivy & sorrow, natalie whipple"
"suddenly you, lisa kleypas"
"a universal history of iniquity, jorge luis borges"
"nowhere but here, renee carlino"
"the bridge, iain banks"
"little moments of love, catana chetwynd"
"a lick of frost, laurell k. hamilton"
"sweet as sin, j.t. geissinger"
"wicked abyss, kresley cole"
"how to be happy, eleanor davis"
"idol, kristen callihan"
"the vampire wish, michelle madow"
"dept. of speculation, jenny offill"
"fangs, sarah andersen"
"the inn between, marina cohen"
"honeybee, trista mateer"
"the summer queen, elizabeth chadwick"
"sphinx's queen, esther m. friesner"
"skin, ted dekker"
"czerwień rubinu, kerstin gier"
"sookie stackhouse 7-copy boxed set, charlaine harris"
"manhattan in reverse, peter f. hamilton"
"rock chick regret, kristen ashley"
"claimed, elle kennedy"
"the problem child, michael buckley"
"brave new world and brave new world revisited, aldous huxley"
"beyond grace's rainbow, carmel harrington"
"a redo, c.m. owens"
"irresistible, mary balogh"
"the nature of jade, deb caletti"
"the headless ghost, r.l. stine"
"the shepherd's crown, terry pratchett"
"the last american vampire, seth grahame-smith"
"the tale of mr. jeremy fisher, beatrix potter"
"sorrow and starlight, caroline peckham"
"many waters, madeleine l'engle"
"die zwölf, justin cronin"
"lucifer, vol. 1, mike carey"
"berserk, vol. 19, kentaro miura"
"atonement, ian mcewan"
"callum & harper, fisher amelie"
"riot, shashi tharoor"
"the genius and the muse, elizabeth hunter"
"emily windsnap and the castle in the mist, liz kessler"
"mechanic with benefits, mickey miller"
"the one and only bob, katherine applegate"
"pursuing amy, marilyn kaye"
"furthermore, tahereh mafi"
"beautiful mistake, vi keeland"
"the love affairs of nathaniel p., adelle waldman"
"archangel's legion, nalini singh"
"hard and fast, erin mccarthy"
"a kiss remembered, sandra brown"
"craven manor, darcy coates"
"dracula in love, karen essex"
"the beach café, lucy diamond"
"little women and me, lauren baratz-logsted"
"by the light of the moon, dean koontz"
"descendant of the crane, joan he"
"something about you, julie james"
"the griffin & sabine trilogy, nick bantock"
"october, audrey carlan"
"a perfect marriage, laurey bright"
"the reluctant queen, jean plaidy"
"sezon burz, andrzej sapkowski"
"shadows & dreams, alexis hall"
"secrets and shadows, bryan chick"
"take me tonight, roxanne st. claire"
"miss mayhem, rachel hawkins"
"bitch planet, vol. 1, kelly sue deconnick"
"me write book, graham roumieu"
"tokyo ghost, vol. 1, rick remender"
"we deserve monuments, jas hammonds"
"men at arms, terry pratchett"
"to catch a cheat, varian johnson"
"mirrors, ted dekker"
"grim tuesday, garth nix"
"a lady of the west, linda howard"
"true, laurann dohner"
"the bane chronicles, cassandra clare"
"space dumplins, craig thompson"
"the wallflower, vol. 2, tomoko hayakawa"
"camilla, madeleine l'engle"
"behind his eyes - consequences, aleatha romig"
"devil's dominion, kathryn le veque"
"to marry a scottish laird, lynsay sands"
"berserk, vol. 7, kentaro miura"
"the last hellion, loretta chase"
"the son, veronica roth"
"dorothy and the wizard in oz, l. frank baum"
"harrow county, vol. 5, cullen bunn"
"in the prince's bed, sabrina jeffries"
"listening to dust, brandon shire"
"illusive, emily lloyd-jones"
"beast, part one, ella james"
"twilight and history, nancy reagin"
"excavation, wendy c. ortiz"
"damia, anne mccaffrey"
"the summerhouse, jude deveraux"
"claimed, k.r. smith"
"the dark highlander, karen marie moning"
"frog and toad together, arnold lobel"
"the cat in the hat comes back, dr. seuss"
"el alquimista, paulo coelho"
"killer instinct, jennifer lynn barnes"
"prey, linda howard"
"the never war, d.j. machale"
"uncharted, anna hackett"
"goddess of light, p.c. cast"
"avoiding intimacy, k.a. linde"
"the mime order, samantha shannon"
"sea change, karen white"
"the dancing master, julie klassen"
"the earl claims a bride, amelia grey"
"welcome to last chance, cathleen armstrong"
"the tale of the pie and the patty-pan, beatrix potter"
"from the wreckage, michele g. miller"
"prey, andrea speed"
"seis de cuervos, leigh bardugo"
"cast in silence, michelle sagara"
"from blood and ash, jennifer l. armentrout"
"on the edge, ilona andrews"
"a bollywood affair, sonali dev"
"a curse so dark and lonely, brigid kemmerer"
"the girl in 6e, a.r. torre"
"hannah's list, debbie macomber"
"motorcycle man, kristen ashley"
"sweet addiction, maya banks"
"deliverer, c.j. cherryh"
"pushing the limits, brooke cumberland"
"where's my cow?, terry pratchett"
"illywhacker, peter carey"
"rituals, kelley armstrong"
"artificial condition, martha wells"
"nightingale wood, stella gibbons"
"emma, vol. 07, kaoru mori"
"a espada do verão, rick riordan"
"the berenstain bears' new baby, stan berenstain"
"it devours!, joseph fink"
"the autobiography of alice b. toklas, gertrude stein"
"the dead room, heather graham"
"fighting destiny, amelia hutchins"
"dark paradise, tami hoag"
"into the bright unknown, rae carson"
"clockwork angel; clockwork prince; clockwork princess, cassandra clare"
"beautiful bastard, christina lauren"
"the wish, nicholas sparks"
"otherworld, jason segel"
"what i did for a duke, julie anne long"
"hard evidence, pamela clare"
"by any other name, jodi picoult"
"metamorphosis, erin noelle"
"larklight, philip reeve"
"rebel heart, moira young"
"el juego de ender, orson scott card"
"foreplay, sophie jordan"
"forever with you, laurelin paige"
"bleach, vol. 1, tite kubo"
"orange 1, ichigo takano"
"dress-tease, jae*"
"the end of oz, danielle paige"
"the austen escape, katherine reay"
"fortune hunter, jana deleon"
"o alquimista, paulo coelho"
"our share of night, mariana enríquez"
"the original folk and fairy tales of the brothers grimm, jacob grimm"
"the high king's tomb, kristen britain"
"the children of hamlin, carmen carter"
"camille, tess oliver"
"the unremembered empire, dan abnett"
"light before day, christopher rice"
"beneath this mask, meghan march"
"where we belong, emily giffin"
"a casa de hades, rick riordan"
"crossings, danielle steel"
"the devil you know, mike carey"
"the shade of the moon, susan beth pfeffer"
"starting from scratch, georgia beers"
"athica lane, brynne asher"
"wolf games, vivian arend"
"shattered, karen robards"
"vulcan!, kathleen sky"
"harry potter y el cáliz de fuego, j.k. rowling"
"a silent voice, vol. 2, yoshitoki oima"
"the song of the lioness quartet, tamora pierce"
"the half-drowned king, linnea hartsuyker"
"lethal rider, larissa ione"
"darkstalker, tui t. sutherland"
"tau zero, poul anderson"
"eaters of the dead, michael crichton"
"queens of geek, jen wilde"
"the silent governess, julie klassen"
"my legendary girlfriend, mike gayle"
"the plover, brian doyle"
"trouble on paradise, craig alanson"
"mistral's kiss, laurell k. hamilton"
"la oscura verdad de mara dyer, michelle hodkin"
"king's cage, victoria aveyard"
"a week to be wicked, tessa dare"
"some sort of crazy, melanie harlow"
"venom, fiona paul"
"edgewood, karen mcquestion"
"aprendiz de asesino, robin hobb"
"pros and cons, janet evanovich"
"sarah's surrender, lynda chance"
"ironside, holly black"
"rejoice, karen kingsbury"
"divine, karen kingsbury"
"dragon haven, robin hobb"
"fractured, d.j. molles"
"the homing, john saul"
"they both die at the end, adam silvera"
"callahan's crosstime saloon, spider robinson"
"jekel loves hyde, beth fantaskey"
"the viper, kele moon"
"fire sanctuary, katharine eliska kimbriel"
"k-pax, gene brewer"
"the accidental family, rowan coleman"
"stormlord's exile, glenda larke"
"the mabinogion, unknown"
"speaker for the dead, orson scott card"
"how to fall in love with anyone, mandy len catron"
"alaska twilight, colleen coble"
"more than friends, barbara delinsky"
"schwarz, stephen king"
"just remember to breathe, charles sheehan-miles"
"fate bound, madeline freeman"
"the demon's lexicon, sarah rees brennan"
"the forgotten girl, jessica sorensen"
"vigilante, sarah fine"
"temptation street, shari low"
"tsubasa, clamp"
"the cobra event, richard preston"
"for elise, sarah m. eden"
"the outlander series, diana gabaldon"
"susannah's garden, debbie macomber"
"the golem's eye, jonathan stroud"
"this close to okay, leesa cross-smith"
"everything, everything, nicola yoon"
"hard to resist, shanora williams"
"wishtree, katherine applegate"
"animalia, graeme base"
"branded, keary taylor"
"thief!, malorie blackman"
"ptolemy's gate, jonathan stroud"
"light on lucrezia, jean plaidy"
"last night at chateau marmont, lauren weisberger"
"the sound of waves, yukio mishima"
"dare to take, carly phillips"
"dragonswood, janet lee carey"
"pamela, samuel richardson"
"prepare to die!, paul tobin"
"el temor de un hombre sabio, patrick rothfuss"
"long time coming, sandra brown"
"nick and norah's infinite playlist, rachel cohn"
"legacy, lois mcmaster bujold"
"gemini cell, myke cole"
"sessanta racconti, dino buzzati"
"thief's magic, trudi canavan"
"harry potter und der feuerkelch, j.k. rowling"
"mark of fire, richard phillips"
"dragonwyck, anya seton"
"the icewind dale trilogy collector's edition, r.a. salvatore"
"the secret zoo, bryan chick"
"king of hearts, l.h. cosway"
"patriots, james wesley rawles"
"the white rose, amy ewing"
"fallen in love, lauren kate"
"diplomatic immunity, lois mcmaster bujold"
"the letter, kathryn hughes"
"paradise kiss, ai yazawa"
"the rowan, anne mccaffrey"
"until jax, aurora rose reynolds"
"nana, vol. 11, ai yazawa"
"manifold, stephen baxter"
"star wars, charles soule"
"the starless sea, erin morgenstern"
"bold tricks, karina halle"
"rant, chuck palahniuk"
"borrowing blue, lucy lennox"
"sand, hugh howey"
"claire de lune, christine johnson"
"freefall, tess oliver"
"la principessa, cassandra clare"
"the guest list, fern michaels"
"the devil wears scrubs, freida mcfadden"
"the treachery of beautiful things, ruth frances long"
"promises prevail, sarah mccarty"
"the looking glass wars, frank beddor"
"highland velvet, jude deveraux"
"a tale of two castles, gail carson levine"
"a harmless little game, meli raine"
"crush, nicole williams"
"solitary, alexander gordon smith"
"ocean meets sky, terry fan"
"jo's boys, louisa may alcott"
"a countess below stairs, eva ibbotson"
"lodestar, shannon messenger"
"bloom, wil mccarthy"
"invincible, vol. 23, robert kirkman"
"reviving izabel, j.a. redmerski"
"broken juliet, leisa rayven"
"diamond dogs, turquoise days, alastair reynolds"
"here, there be dragons, james a. owen"
"what is not yours is not yours, helen oyeyemi"
"wings of sorrow, iain rob wright"
"berserk, vol. 13, kentaro miura"
"pleasure, lucia jordan"
"fuzzy nation, john scalzi"
"empress of a thousand skies, rhoda belleza"
"kissani jugoslavia, pajtim statovci"
"the children of men, p.d. james"
"august heat, lora leigh"
"objetivo, elle kennedy"
"precious and fragile things, megan hart"
"this is how you lose the time war, amal el-mohtar"
"the black tulip, alexandre dumas"
"sincerely, arizona, whitney g."
"serpent's kiss, melissa de la cruz"
"the well-wishers, edward eager"
"the rogue not taken, sarah maclean"
"we hunt the flame, hafsah faizal"
"wedded bliss, barbara metzger"
"nova, rebecca yarros"
"ice like fire, sara raasch"
"vengeful, v.e. schwab"
"the hangman, mary burton"
"der alchimist, paulo coelho"
"sex criminals, vol. 1, matt fraction"
"#swag, cambria hebert"
"devil's punch, ann aguirre"
"the tea rose, jennifer donnelly"
"the trouble with falling, rochelle morgan"
"moonshot, alessandra torre"
"the king of plagues, jonathan maberry"
"the ex hex, erin sterling"
"the curious case of benjamin button, f. scott fitzgerald"
"rise of the dragons, morgan rice"
"epilogue, c.j. roberts"
"lost boy, christina henry"
"i've got your number, sophie kinsella"
"instructions for dancing, nicola yoon"
"all our wrong todays, elan mastai"
"flatland, edwin a. abbott"
"1984, george orwell"
"fantasy in death, j.d. robb"
"when i fall, j. daniels"
"fortune's son, jennifer scoullar"
"saddled and spurred, lorelei james"
"weetzie bat, francesca lia block"
"the four bad boys and me, blue_maiden*"
"the masterharper of pern, anne mccaffrey"
"the gamble, kristen ashley"
"the other side of envy, c.l. stone"
"meant to be mine, becky wade"
"the burning white, brent weeks"
"harry potter illustrated box set, j.k. rowling"
"everbound, brodi ashton"
"chicks in chainmail, esther m. friesner"
"the adventures of super diaper baby, dav pilkey"
"the ghost and the graveyard, genevieve jack"
"ape and essence, aldous huxley"
"kissing in cars, sara ney"
"the woman on the orient express, lindsay jayne ashford"
"sempre, j.m. darhower"
"the unnatural inquirer, simon r. green"
"the door into summer, robert a. heinlein"
"the three bears, rob hefferan"
"tokyo ever after, emiko jean"
"robot visions, isaac asimov"
"words on bathroom walls, julia walton"
"biss zum ende der nacht, stephenie meyer"
"the black lily, juliette cross"
"witch & wizard, james patterson"
"after dead, charlaine harris"
"immortal ever after, lynsay sands"
"the gift, julie garwood"
"the epic crush of genie lo, f.c. yee"
"the tropic of serpents, marie brennan"
"honor among enemies, david weber"
"every exquisite thing, matthew quick"
"a perfect gentleman, candace camp"
"saturn run, john sandford"
"the house by the river, lena manta"
"take a chance on me, sapna bhog"
"bill the vampire, rick gualtieri"
"perfect fling, carly phillips"
"dead heat, patricia briggs"
"blossoms and shadows, lian hearn"
"14, peter clines"
"sins & needles, karina halle"
"wake, robert j. sawyer"
"ceridwen of kilton, octavia randolph"
"and the trees crept in, dawn kurtagich"
"avatar, bryan konietzko"
"windfall, jennifer e. smith"
"butterfly palace, colleen coble"
"only mine, susan mallery"
"the master and margarita, mikhail bulgakov"
"the one and only ivan, katherine applegate"
"conan, vol. 5, timothy truman"
"legends & lattes, travis baldree"
"the invention of hugo cabret, brian selznick"
"love, in english, karina halle"
"heat wave, karina halle"
"tenggelamnya kapal van der wijck, hamka"
"nyphron rising, michael j. sullivan"
"luna, julie anne peters"
"at any price, brenna aubrey"
"wicked sexy liar, christina lauren"
"lady of quality, georgette heyer"
"among others, jo walton"
"the white queen, philippa gregory"
"my kind of forever, heidi mclaughlin"
"lord valentine's castle, robert silverberg"
"locked in temptation, brenda jackson"
"a most extraordinary pursuit, juliana gray"
"cold blooded, lisa jackson"
"the wise man's fear, patrick rothfuss"
"the mortal instruments, cassandra clare"
"slice of cherry, dia reeves"
"der kuss des kjer, lynn raven"
"claymore, vol. 15, norihiro yagi"
"illusion, frank e. peretti"
"the tenth city, patrick carman"
"the man without a shadow, joyce carol oates"
"extinction, lisa smedman"
"unholy magic, stacia kane"
"pages of sin, kate carlisle"
"circle of fire, michelle zink"
"return of the chauffeur's son, tara lain"
"darkest night, will hill"
"smoke in the sun, renee ahdieh"
"wintersmith, terry pratchett"
"artefact, jamie sawyer"
"1q84 #2, haruki murakami"
"leviathan, jack campbell"
"seventh son, orson scott card"
"mother of kings, poul anderson"
"where there's smoke, jodi picoult"
"easy for keeps, kristen proby"
"size 14 is not fat either, meg cabot"
"undead, kirsty mckay"
"always and forever, lara jean, jenny han"
"purgatory road, russell blake"
"drops of gold, sarah m. eden"
"philip k. dick's electric dreams, philip k. dick"
"when, victoria laurie"
"kill switch, penelope douglas"
"star wars, steve perry"
"among the barons, margaret peterson haddix"
"act your age, eve dangerfield"
"golden girl, elin hilderbrand"
"journey to the center of the earth, jules verne"
"corona de medianoche, sarah j. maas"
"helsreach, aaron dembski-bowden"
"angles of attack, marko kloos"
"broken angels, richard k. morgan"
"deathbird stories, harlan ellison"
"der fluch, richard bachman"
"mr. sebastian and the negro magician, daniel wallace"
"death note, tsugumi ohba"
"the way life should be, christina baker kline"
"clutch, s.m. west"
"into the cold fire, lynne ewing"
"death echo, elizabeth lowell"
"so worthy my love, kathleen e. woodiwiss"
"mitosis, brandon sanderson"
"the sandman, neil gaiman"
"omens, kelley armstrong"
"changing lines, r.j. scott"
"feed, mira grant"
"captive, sarah fine"
"the hawk, monica mccarty"
"daughter of a thousand years, amalia carosella"
"the line of polity, neal asher"
"six earlier days, david levithan"
"the terror, dan simmons"
"the governess affair, courtney milan"
"the belgariad, vol. two, david eddings"
"torrent, bobby adair"
"the perfect waltz, anne gracie"
"serial hottie, kelly oram"
"endgame, ann aguirre"
"the bad seed, jory john"
"undeniably yours, shannon stacey"
"just kiss me, rachel gibson"
"all in, emma scott"
"the knight at dawn, mary pope osborne"
"dark horse, tami hoag"
"the dark descent of elizabeth frankenstein, kiersten white"
"trans-sister radio, chris bohjalian"
"autumn in london, louise bay"
"ender in exile, orson scott card"
"the smoke ring, larry niven"
"the lost letter, jillian cantor"
"the lost, jonathan aycliffe"
"calder storm, janet dailey"
"season of passion, danielle steel"
"unholy ghosts, stacia kane"
"the beautiful ashes, jeaniene frost"
"awakening, cate tiernan"
"deep trouble, r.l. stine"
"winter's heart, robert jordan"
"the language of flowers, vanessa diffenbaugh"
"dragonquest, donita k. paul"
"meet cute, jennifer l. armentrout"
"the swarm, orson scott card"
"written in the scars, adriana locke"
"fullmetal alchemist, vol. 17, hiromu arakawa"
"trust, pamela m. kelley"
"breaker's reef, terri blackstock"
"roses, leila meacham"
"legionnaire, jason anspach"
"ynyr, m.k. eidem"
"if i stay - jika aku tetap di sini, gayle forman"
"blood charged, lindsay buroker"
"troubled waters, sharon shinn"
"creature, john saul"
"see how they run, ally carter"
"in the light of the garden, heather burch"
"brother odd, dean koontz"
"the first men in the moon, h.g. wells"
"savannah breeze, mary kay andrews"
"the tailgate, elin hilderbrand"
"let us descend, jesmyn ward"
"accidents of marriage, randy susan meyers"
"the overlord protocol, mark walden"
"prince's gambit, c.s. pacat"
"take care, sara, lindy zart"
"greywalker, kat richardson"
"blind willow, sleeping woman, haruki murakami"
"captivate, carrie jones"
"the wild rose, jennifer donnelly"
"riders, jilly cooper"
"a woman betrayed, barbara delinsky"
"the epilogue, kiera cass"
"lone wolf, kathryn lasky"
"windfallen, jojo moyes"
"the celestine prophecy, james redfield"
"lion's heat, lora leigh"
"young love murder, april brookshire"
"lumberjanes, vol. 1, n.d. stevenson"
"striker, lilly atlas"
"dead[ish], naomi kramer"
"wicked deeds on a winter's night, kresley cole"
"creed, kristen ashley"
"not a drop to drink, mindy mcginnis"
"key of light, nora roberts"
"chocolate fever, robert kimmel smith"
"the big over easy, jasper fforde"
"sweet poison wine, seanan mcguire"
"painted faces, l.h. cosway"
"zero history, william gibson"
"the darcys & the bingleys, marsha altman"
"the merlin conspiracy, diana wynne jones"
"still life with woodpecker, tom robbins"
"more than comics, elizabeth briggs"
"the red scrolls of magic, cassandra clare"
"midnight crossroad, charlaine harris"
"the paper menagerie, ken liu"
"the protector, jodi ellen malpas"
"midnight rescue, elle kennedy"
"persuasion, jaymin eve"
"queen's gambit, elizabeth fremantle"
"the marrow thieves, cherie dimaline"
"the rescue, nicholas sparks"
"immortal guardians, eliot schrefer"
"onde vivem os monstros, maurice sendak"
"the boys of fire and ash, meaghan mcisaac"
"atlantis rising, alyssa day"
"the breed next door, lora leigh"
"shadow heir, richelle mead"
"hacker, ted dekker"
"love only once, johanna lindsey"
"clan rathskeller, kevin hearne"
"donovan's daughter, lori wick"
"department nineteen, will hill"
"the sleepwalker tonic, jason segel"
"earth, david brin"
"aristotle and dante dive into the waters of the world, benjamin alire sáenz"
"two weeks' notice, rachel caine"
"a walk to remember, nicholas sparks"
"the five people you meet in heaven, mitch albom"
"rock chick, kristen ashley"
"was man von hier aus sehen kann, mariana leky"
"the rise of scourge, erin hunter"
"sehnsuchtsvolle berührung, jennifer l. armentrout"
"missing, lisa harris"
"small town girl, ann h. gabhart"
"love profound, kelly elliott"
"pollyanna grows up, eleanor h. porter"
"sin with me, j.t. geissinger"
"behind the shattered glass, tasha alexander"
"immortal beloved, cate tiernan"
"tunnel of bones, victoria schwab"
"her best friend's brother, t.j. dell"
"la biblia de los caídos. tomo 0, fernando trujillo sanz"
"hello stranger, katherine center"
"the vampire huntress legends, l.a. banks"
"world after, susan ee"
"thea stilton and the mountain of fire, thea stilton"
"galactic pot-healer, philip k. dick"
"fables, arnold lobel"
"the sweetest burn, jeaniene frost"
"something wicked this way comes, ray bradbury"
"war master's gate, adrian tchaikovsky"
"blood of elves, andrzej sapkowski"
"the dark elf trilogy collector's edition, r.a. salvatore"
"mister wonderful, daniel clowes"
"twelve days of christmas, debbie macomber"
"the quartered sea, tanya huff"
"legion of the damned, william c. dietz"
"please do not taunt the octopus, mira grant"
"books of blood, clive barker"
"rookie move, sarina bowen"
"point blank, catherine coulter"
"harmless, ernie lindsey"
"eyes of silver, eyes of gold, ellen o'connell"
"dragon and thief, timothy zahn"
"fly away home, jennifer weiner"
"ride, harper dallas"
"the tales of mother goose, charles perrault"
"the garden of forking paths, jorge luis borges"
"soul identity, dennis batchelder"
"scarlet, marissa meyer"
"i close my eyes, regina puckett"
"unteachable, leah raeder"
"tomorrow, and tomorrow, and tomorrow, gabrielle zevin"
"fluke, christopher moore"
"the enlightenment of the greengage tree, shokoofeh azar"
"a reaper at the gates, sabaa tahir"
"the confessions of max tivoli, andrew sean greer"
"slappy's tales of horror, r.l. stine"
"obsidian butterfly, laurell k. hamilton"
"greenwitch, susan cooper"
"getting over garrett delaney, abby mcdonald"
"the last orphans, n.w. harris"
"masterminds, gordon korman"
"burning chrome, william gibson"
"beautiful redemption, jamie mcguire"
"lake in the clouds, sara donati"
"night of the living dummy, r.l. stine"
"twee vrouwen, harry mulisch"
"the wicked will rise, danielle paige"
"en el país de la nube blanca, sarah lark"
"broken, megan hart"
"the night tiger, yangsze choo"
"the girl who drank the moon, kelly barnhill"
"the eight, katherine neville"
"the last secret of the deverills, santa montefiore"
"a escolha, kiera cass"
"something in between, melissa de la cruz"
"die saat des goldenen löwen, george r.r. martin"
"reindeer moon, elizabeth marshall thomas"
"the last family in england, matt haig"
"because you tempt me, beth kery"
"a fate inked in blood, danielle l. jensen"
"tintenherz, cornelia funke"
"the complete anne of green gables, l.m. montgomery"
"dewitched, e.l. sarnoff"
"the wizard heir, cinda williams chima"
"holy fools, joanne harris"
"my grandmother asked me to tell you she's sorry, fredrik backman"
"true colors, kristin hannah"
"vamphyri!, brian lumley"
"chew, vol. 3, john layman"
"virgin, radhika sanghani"
"charlotte's web/stuart little slipcase gift set, e.b. white"
"curse the day, annabel chase"
"daughter of the forest, juliet marillier"
"the sparrow, mary doria russell"
"the magic fish, trung le nguyen"
"the baby jesus butt plug, carlton mellick iii"
"promise of wrath, steve mchugh"
"zero sum game, s.l. huang"
"the lake effect, erin mccahan"
"bookman dead style, paige shelton"
"significance, shelly crane"
"the cruel prince, holly black"
"the king of the crags, stephen deas"
"the sinners on tour boxed set, olivia cunning"
"hellboy, christopher golden"
"joyride, anna banks"
"elle & lui, marc levy"
"night owl, m. pierce"
"jackdaw, k.j. charles"
"the forever war, joe haldeman"
"dark celebration, christine feehan"
"the wicked one, danelle harmon"
"after the quake, haruki murakami"
"warrior's return, erin hunter"
"the snow globe, sheila roberts"
"wildest dreams, robyn carr"
"eloquent silence, sandra brown"
"happily never after, jeaniene frost"
"one fifth avenue, candace bushnell"
"howling for you, chloe neill"
"all men of genius, lev a.c. rosen"
"transmetropolitan, vol. 4, warren ellis"
"bleach, volume 22, tite kubo"
"slow play, monica murphy"
"tempting the player, j. lynn"
"island of dragons, lisa mcmann"
"the queen's vow, c.w. gortner"
"beneath a burning sky, jenny ashcroft"
