Title,Author,Rating,User_id,isbn,num_ratings,avg_rating,num_pages,review,date_started,date_read,date_added,format,date_pub_edition
Hello Stranger,"Center, Katherine*",3,65509235,1250283787,"145,869",3.92,323pp,"Classic RomCom. Boy meets girl - the ""twist"" is that she has brain surgery and doesn't remember faces... and she is a portrait artist. Bit of dysfunctClassic RomCom. Boy meets girl - the ""twist"" is that she has brain surgery and doesn't remember faces... and she is a portrait artist. Bit of dysfunctional family thrown in the mix. Career angst. Love triumphs in the end....more","Aug 26, 2023","Aug 27, 2023","Aug 28, 2023",Hardcover,"Jul 11, 2023"
The Celebrants,"Rowley, Steven*",4,65509235,0593540441,"49,738",3.63,336pp,None,"Aug 27, 2023",Sep 2023,"Aug 27, 2023",Kindle Edition,"May 30, 2023"
The Girl Who Survived,"Jackson, Lisa*",2,65509235,1496737431,"37,100",3.92,444pp,None,"Aug 27, 2023","Sep 03, 2023","Aug 27, 2023",Kindle Edition,"Jun 28, 2022"
"Good Night, Irene","Urrea, Luis Alberto*",3,65509235,,"25,760",4.13,465pp,"One of many historical novels out recently with similar ""women in service"" theme. This one follows Irene and Dorothy - plus multiple ""third girl in thOne of many historical novels out recently with similar ""women in service"" theme. This one follows Irene and Dorothy - plus multiple ""third girl in the truck"" plus men in/out of the story... Found myself skimming thru extraneous scene setting. Some of the grittier chapters could have been expanded. Book left me wanting more out of these characters....more","Aug 23, 2023","Aug 27, 2023","Aug 23, 2023",Kindle Edition,"May 30, 2023"
That's Not My Name,"Lally, Megan*",4,65509235,,"127,330",4.06,300pp,None,"Jul 20, 2024","Jul 22, 2024","Aug 22, 2023",Kindle Edition,"Dec 26, 2023"
I’m Not Done with You Yet,"Sutanto, Jesse Q*",3,65509235,059354692X,"7,152",3.66,368pp,"Jane is still obsessed with Thalia over 10 years post a semester plus together at Oxford. Jane is now married to Ted. Thalia & Jane are not super pleaJane is still obsessed with Thalia over 10 years post a semester plus together at Oxford. Jane is now married to Ted. Thalia & Jane are not super pleasant people. Ted is a douchebag. Bit of plot twist in relation to ""who"" is the creepy sociopath between Jane & Thalia... That's the book....more","Sep 07, 2023","Sep 13, 2023","Aug 22, 2023",Kindle Edition,"Aug 21, 2023"
The Last Word,"Adams, Taylor*",3,65509235,0063222914,"74,475",3.69,320pp,None,Mar 2024,"Mar 04, 2024","Aug 22, 2023",Kindle Edition,"Apr 25, 2023"
Drowning,"Newman, T.J.*",2,65509235,,"52,809",4.15,300pp,High level - felt like the draft for a movie. No character development. Lots of technical mumbo-jumbo that hopefully is taken out when the movie is maHigh level - felt like the draft for a movie. No character development. Lots of technical mumbo-jumbo that hopefully is taken out when the movie is made......more,Oct 2023,Oct 2023,"Aug 22, 2023",Kindle Edition,"May 30, 2023"
Girls and Their Horses,"Brazier, Eliza Jane",3,65509235,0593438906,"4,474",3.70,400pp,Drama in the horse world. That part resonates.,"Aug 19, 2023","Aug 23, 2023","Aug 19, 2023",Kindle Edition,"Jun 06, 2023"
Everyone Here Is Lying,"Lapena, Shari*",2,65509235,0593489942,"189,326",3.79,368pp,"Let's just say that Avery is not very pleasant... really, no one in this book is pleasant...Let's just say that Avery is not very pleasant... really, no one in this book is pleasant......more","Aug 18, 2023","Aug 19, 2023","Aug 18, 2023",Kindle Edition,"Jul 25, 2023"
She Started It,"Gilbert, Sian*",2,65509235,0063286297,"52,355",3.57,352pp,"Rounded up to two stars. 5 main characters - not much to distinguish one from the other. Chapters written in theory by one of the main characters (PopRounded up to two stars. 5 main characters - not much to distinguish one from the other. Chapters written in theory by one of the main characters (Poppy, Esther, Annabel, Chloe, Tanya) - but literally every single chapter, I'd need to float back to the first page to remind myself who was narrating... And then, the ""twist"" at the end - well... let's just say that we live in an era where everything is online. Without giving anything away, this is just not possible....more","Aug 12, 2023","Aug 14, 2023","Aug 16, 2023",Hardcover,"Jun 13, 2023"
The Measure,"Erlick, Nikki",5,65509235,0063204223,"316,012",3.98,348pp,"Unique novel. Boxes with strings show up one day for every adult over 22 years... The strings show how long you have to live - i.e. ""the measure"". MyUnique novel. Boxes with strings show up one day for every adult over 22 years... The strings show how long you have to live - i.e. ""the measure"". My initial thought is ""why would it make a difference if you knew how long you had to live"" - and then... so many implications. Sucked into this world, invested in the 8 primary characters (short & long stringers combined) - and didn't want this book to end....more","Aug 12, 2023","Aug 18, 2023","Aug 12, 2023",Kindle Edition,"Jun 28, 2022"
Strange Sally Diamond,"Nugent, Liz*",4,65509235,1501189735,"143,091",4.16,317pp,None,"Aug 07, 2023","Aug 08, 2023","Aug 07, 2023",Kindle Edition,"Aug 01, 2023"
"The Many Lives of Mama Love: A Memoir of Lying, Stealing, Writing, and Healing","Hardin, Lara Love*",3,65509235,1982197668,"93,606",4.45,319pp,"... there but by the grace of God. Lara's memoir is a good read - she doesn't appear to pull any punches on the good, bad & ugly of her life. Skim rea... there but by the grace of God. Lara's memoir is a good read - she doesn't appear to pull any punches on the good, bad & ugly of her life. Skim read few chapters/paragraphs when the writing got repetititve....more","Sep 15, 2023","Sep 18, 2023","Aug 05, 2023",Kindle Edition,"Aug 01, 2023"
Gone Tonight,"Pekkanen, Sarah*",2,65509235,1250283981,"32,976",3.82,336pp,None,"Sep 03, 2023","Sep 05, 2023","Aug 03, 2023",Kindle Edition,"Aug 01, 2023"
The Seven Year Slip,"Poston, Ashley*",3,65509235,0593336526,"456,099",4.18,368pp,None,Aug 2023,"Aug 05, 2023","Aug 01, 2023",Kindle Edition,"Jun 27, 2023"
The Daddy Diaries: The Year I Grew Up,"Cohen, Andy*",1,65509235,1250890934,"14,706",3.87,288pp,"Painful to say the least. How this can even be called ""writing"" is completely beyond me. Mix of banal tidbits on kids with just ""yucky"" hook-ups. NothPainful to say the least. How this can even be called ""writing"" is completely beyond me. Mix of banal tidbits on kids with just ""yucky"" hook-ups. Nothing redeeming....more",Aug 2023,"Aug 02, 2023","Aug 01, 2023",Kindle Edition,"May 09, 2023"
The Quiet Tenant,"Michallon, Clémence*",3,65509235,0593534654,"125,509",3.82,320pp,Solid serial killer novel. Although - how in heck the wife/daughter were oblivious to the woman being held in the backyard shed for 5 years is truly bSolid serial killer novel. Although - how in heck the wife/daughter were oblivious to the woman being held in the backyard shed for 5 years is truly beyond me!...more,"Jul 27, 2023","Jul 30, 2023","Jul 27, 2023",Kindle Edition,"Jun 20, 2023"
"The Five-Star Weekend
        (Sommer in Nantucket, #1)","Hilderbrand, Elin*",3,65509235,0316258776,"285,349",4.02,384pp,Five-Star weekend is classic Hilderbrand.,"Jul 20, 2023","Jul 26, 2023","Jul 27, 2023",Hardcover,"Jun 13, 2023"
Mrs. Nash's Ashes,"Adler, Sarah*",3,65509235,,"42,217",4.02,344pp,Cute. Nice to see a slightly flawed romantic lead who gets the sexy guy in spite of all those quirks:),"Jul 23, 2023",Aug 2023,"Jul 23, 2023",Kindle Edition,"May 23, 2023"
Yellow Wife,"Johnson, Sadeqa*",4,65509235,,"76,191",4.43,287pp,"Emotional, not an easy read. But the characters pull you in, touch your heart, and make you wish that life could have been so so so much different. ReEmotional, not an easy read. But the characters pull you in, touch your heart, and make you wish that life could have been so so so much different. Recommend reading....more","Jul 22, 2023","Jul 23, 2023","Jul 22, 2023",Kindle Edition,"Jan 12, 2021"
Bad Summer People,"Rosenblum, Emma*",2,65509235,,"84,673",3.41,263pp,"Not quite sure what this book was supposed to be - thriller, beach read, etc. Lots of wealthy people who sleep with one another, bitch about their livNot quite sure what this book was supposed to be - thriller, beach read, etc. Lots of wealthy people who sleep with one another, bitch about their lives, etc. Not a fan....more","Jul 21, 2023","Jul 22, 2023","Jul 21, 2023",Kindle Edition,"May 23, 2023"
Night Road,"Hannah, Kristin*",3,65509235,,"282,713",4.26,396pp,"Read years ago - forgot about... and then read again. Twins, the best friend, drunk driving, jail, love wins in the end.","Jul 03, 2023","Jul 07, 2023","Jul 03, 2023",Kindle Edition,Feb 2020
The Circus Train,"Parikh, Amita*",3,65509235,,"22,295",4.03,352pp,"This book - on the surface - is wonderful... From the circus train, to family and love dynamics, intriguing characters (Lena, Alexandre, Theo), tackliThis book - on the surface - is wonderful... From the circus train, to family and love dynamics, intriguing characters (Lena, Alexandre, Theo), tackling disability in the 30's/40's - all should mesh. And I did want to keep reading to find out how Lena & Alexandre's love story ends... But from stilted dialogue to extraneous sections (Harry in India - just why was this chapter thrown in?) to pretty big gaps of time that are breezed thru... generous 3-star rating....more","Jun 10, 2023","Jun 25, 2023","Jun 26, 2023",Paperback,"Mar 22, 2022"
Things I Wish I Told My Mother,"Patterson, Susan",2,65509235,0316406406,"28,407",3.93,322pp,"When you get to the ending... you will go ""yes, now this very stilted, not real storyline makes sense"". Laurie and her mom Liz go to Paris.... alternaWhen you get to the ending... you will go ""yes, now this very stilted, not real storyline makes sense"". Laurie and her mom Liz go to Paris.... alternative title....more","Jun 18, 2023","Jun 23, 2023","Jun 18, 2023",Kindle Edition,"Apr 10, 2023"
All the Days of Summer,"Thayer, Nancy*",3,65509235,0593358465,"9,532",4.01,370pp,Pro: This novel makes me want to visit Nantucket in the summer.. at least once. Con: But.. I have no clue why Ross & Kailee are together... and also nPro: This novel makes me want to visit Nantucket in the summer.. at least once. Con: But.. I have no clue why Ross & Kailee are together... and also no clue why Heather (Ross' mom) is interested in Miles. If this novel is indicative of the most exciting interactions between these couples - I think that their chance of long-term relationships is slim to none....more,"Jun 18, 2023","Jun 19, 2023","Jun 18, 2023",Kindle Edition,"May 02, 2023"
Big Gay Wedding,"Lane, Byron",2,65509235,,"3,868",3.72,313pp,None,"Jun 27, 2023","Jun 29, 2023","Jun 18, 2023",Kindle Edition,"May 30, 2023"
On the Savage Side,"McDaniel, Tiffany*",5,65509235,0593320719,"9,282",4.07,539pp,"This is not an ""easy"" read... Prepare for your heart to be ripped out multiple times thruout this novel. It's inspired by the true story of the ChilliThis is not an ""easy"" read... Prepare for your heart to be ripped out multiple times thruout this novel. It's inspired by the true story of the Chillicothe Six unsolved murders. Twin sisters - Arcade & Daffodil - have the deck stacked against them from birth.. Poverty, drugs, prostitution, domestic violence - all themes that are part of this book. Haven't read a book this moving since ""A Little Life"" - and that is high praise indeed......more","Jul 14, 2023","Sep 27, 2023","Jun 18, 2023",Kindle Edition,"Feb 14, 2023"
The Only One Left,"Sager, Riley*",3,65509235,0593183231,"481,278",4.14,398pp,"Pro's: Had no clue what was coming next... so had to read to the end.Con's: The wild twists in last 25 or pages makes me nuts. Mansion falling into tPro's: Had no clue what was coming next... so had to read to the end.Con's: The wild twists in last 25 or pages makes me nuts. Mansion falling into the ocean - not likely. Con pulled over 50 years - not likely. Virginia, Lenora, Kit, et al - not sure there is anyone that I felt invested in or cared if they made it thru to the end.......more","Jul 26, 2023","Aug 02, 2023","Jun 18, 2023",Kindle Edition,"Jun 20, 2023"
None of This Is True,"Jewell, Lisa*",4,65509235,1982179007,"911,686",4.09,390pp,So many secrets! Edge of your seat family thriller...,"Aug 20, 2023","Aug 21, 2023","Jun 18, 2023",Hardcover,"Aug 08, 2023"
The Chateau,"Goldis, Jaclyn*",2,65509235,1668013037,"13,914",3.51,336pp,"Great setting... four friends at the Chateau, murder mystery, drama from twenty years prior... Told from each of the friends perspective - and I literGreat setting... four friends at the Chateau, murder mystery, drama from twenty years prior... Told from each of the friends perspective - and I literally had to return to the beginning of each chapter to figure out who was narrating. This was ""ok"" but if had to do over, I'd give a miss....more","Jun 14, 2023","Jun 17, 2023","Jun 14, 2023",Kindle Edition,"May 23, 2023"
"Vera Wong's Unsolicited Advice for Murderers
        (Vera Wong, #1)","Sutanto, Jesse Q*",4,65509235,0593546180,"144,686",4.03,368pp,Vera is the grandmother we all would like in our lives!,"Oct 31, 2023","Nov 03, 2023","Jun 13, 2023",Kindle Edition,"Mar 14, 2023"
Did You Hear About Kitty Karr?,"Paul, Crystal Smith*",3,65509235,1250815304,"68,714",3.74,416pp,None,Jul 2023,"Jul 04, 2023","Jun 13, 2023",Hardcover,"May 02, 2023"
River Sing Me Home,"Shearer, Eleanor*",4,65509235,0593548051,"29,603",3.98,336pp,None,Oct 2023,Jan 2024,"Jun 13, 2023",Kindle Edition,"Jan 31, 2023"
Yellowface,"Kuang, R.F.*",1,65509235,,"845,623",3.74,329pp,Just cringe.,"Jul 16, 2023","Jul 21, 2023","Jun 13, 2023",Kindle Edition,"May 16, 2023"
"Yours Truly
        (Part of Your World, #2)","Jimenez, Abby*",2,65509235,1538704412,"676,838",4.31,417pp,None,"Jun 25, 2023","Jun 27, 2023","Jun 13, 2023",Kindle Edition,"Apr 11, 2023"
Happy Place,"Henry, Emily*",2,65509235,0593441206,"1,256,675",3.96,395pp,Harriett and Wyn - together forever.. broken up.. back together.. The end.,"Jun 19, 2023","Jun 22, 2023","Jun 13, 2023",Kindle Edition,"Apr 25, 2023"
How to Sell a Haunted House,"Hendrix, Grady*",2,65509235,0593201280,"143,197",3.65,416pp,Was hoping for an edge of your seat read... but this was too campy to be even slightly scary...,"Oct 19, 2023","Oct 23, 2023","Jun 13, 2023",Kindle Edition,"Jan 17, 2023"
Chain-Gang All-Stars,"Adjei-Brenyah, Nana Kwame*",3,65509235,0593317343,"78,100",4.12,384pp,Not my usual read - but... was interesting and could 100% see this as a movie (might translate better on film to be quite honest!). There were parts tNot my usual read - but... was interesting and could 100% see this as a movie (might translate better on film to be quite honest!). There were parts that I just had to skim thru - descriptions that added nothing to the story. Other than that - sad ending....more,"Nov 06, 2023","Nov 12, 2023","Jun 13, 2023",ebook,"May 02, 2023"
"Fourth Wing
        (The Empyrean, #1)","Yarros, Rebecca*",4,65509235,,"2,962,138",4.58,665pp,"Fun read. Total escapism aka in the order of The Hunger Games. Cliches abound, but that's what fantasy is all about!Fun read. Total escapism aka in the order of The Hunger Games. Cliches abound, but that's what fantasy is all about!...more","Oct 14, 2023","Oct 19, 2023","Jun 13, 2023",Kindle Edition,"May 02, 2023"
Summer Stage,"Moore, Meg Mitchell*",3,65509235,006302618X,"4,269",3.70,400pp,"Classic beach read - family, celebrity, summer theatre, social media.","Jun 09, 2023","Jun 14, 2023","Jun 09, 2023",Kindle Edition,"May 23, 2023"
The Nigerwife,"Walters, Vanessa*",4,65509235,1668011107,"6,060",3.55,320pp,"As others have noted, this is not a thriller - but instead a novel of a subset of Nigerian life. Marriage, family, domestic violence, all play a part.As others have noted, this is not a thriller - but instead a novel of a subset of Nigerian life. Marriage, family, domestic violence, all play a part......more","Jun 09, 2023","Jun 12, 2023","Jun 09, 2023",Kindle Edition,"May 02, 2023"
The House Is on Fire,"Beanland, Rachel*",4,65509235,1982186143,"22,355",4.09,376pp,"Historical fiction - four primary characters cross paths in the aftermath of the Richmond theatre fire. Sally, Cecily, Jack and Gilbert - from privileHistorical fiction - four primary characters cross paths in the aftermath of the Richmond theatre fire. Sally, Cecily, Jack and Gilbert - from privileged widow to sexually abused slave to apprentice theatre hand to talented slave/blacksmith. Sad, disturbing, humanity at its worst and striving for better....more","May 29, 2023",Jun 2023,"Jun 09, 2023",Hardcover,"Apr 04, 2023"
Romantic Comedy,"Sittenfeld, Curtis*",3,65509235,0399590943,"231,003",3.63,309pp,"SNL meets Hollywood. Sally meets Noah. Reconnect several years post initial meeting. ""Normal"" girl meets ""Star"" and ultimately they hook up. This is tSNL meets Hollywood. Sally meets Noah. Reconnect several years post initial meeting. ""Normal"" girl meets ""Star"" and ultimately they hook up. This is the book....more","Jun 02, 2023","Jun 05, 2023","Jun 09, 2023",Hardcover,"Apr 04, 2023"
A Shoe Story,"Rosen, Jane L.*",3,65509235,0593102134,"4,986",4.05,336pp,Esme likes shoes... and the story is told via what she is wearing each day (either her own or borrowed beauties). From tragedy that took her away fromEsme likes shoes... and the story is told via what she is wearing each day (either her own or borrowed beauties). From tragedy that took her away from NYC & back to home almost 10 years prior to today... this is an ok light romance. Think that Sy was my fav character in the book:)...more,"May 30, 2023","Jun 18, 2023","May 30, 2023",Kindle Edition,"Jun 28, 2022"
The Librarian of Burned Books,"Labuskes, Brianna*",5,65509235,0063259249,"20,051",3.93,384pp,"Excellent! From Berlin in 1933, Paris in 1936, New York in 1944. These women cross paths and each in their own way exhibits bravery beyond belief. WhaExcellent! From Berlin in 1933, Paris in 1936, New York in 1944. These women cross paths and each in their own way exhibits bravery beyond belief. What hit hard were the parallels to today - students in universities who are so easily swayed to shed their moral compass. Highly recommend....more","May 29, 2023","Jun 03, 2023","May 29, 2023",Kindle Edition,"Feb 21, 2023"
A Lady's Guide to Fortune-Hunting,"Irwin, Sophie",4,65509235,,"45,769",3.92,352pp,"Ah, romance with a heroine not afraid to put her own feelings aside for the sake of her family.","May 28, 2023","May 29, 2023","May 28, 2023",ebook,"Jul 12, 2022"
The True Love Experiment,"Lauren, Christina*",3,65509235,1982173432,"178,177",4.08,409pp,"Solid beach/romance read. Reality television with Fizzy, the romance writer... and Connor Prince, the hunky producer. Little bit of sex thrown in. NoSolid beach/romance read. Reality television with Fizzy, the romance writer... and Connor Prince, the hunky producer. Little bit of sex thrown in. No one else in the book stands out or really matters to the story-line (other than Stevie, Connor's daughter). Good escape novel - exactly as I'd expect....more","May 24, 2023","May 25, 2023","May 26, 2023",Hardcover,"May 16, 2023"
The Last Russian Doll,"Loesch, Kristen*",4,65509235,,"11,361",3.79,406pp,"Intriguing book. Adopted my daughter from Russia (Astrakhan) in 1997. Many years spent traveling to Russia for work prior to that time.. From 1971 toIntriguing book. Adopted my daughter from Russia (Astrakhan) in 1997. Many years spent traveling to Russia for work prior to that time.. From 1971 to 1991 - this novel spans 3 generations of Russian women and men. Truly enjoyed this read... but... if you don't have any concept of Russian history prior to reading this book as well as an ability to read between the lines (very confusing at times!), you may not enjoy as much as I did......more","May 16, 2023","May 20, 2023","May 21, 2023",Hardcover,"Mar 14, 2023"
The Last Animal,"Ausubel, Ramona*",3,65509235,0593420543,"6,288",3.43,288pp,Love the premise of the book. Writing style inconsistent and just had to force myself to get thru to the end. Jane and her daughters have interestingLove the premise of the book. Writing style inconsistent and just had to force myself to get thru to the end. Jane and her daughters have interesting dynamic. Not sure that it is positive overall which is a shame....more,"May 19, 2023","May 25, 2023","May 19, 2023",Kindle Edition,"Apr 18, 2023"
Hello Beautiful,"Napolitano, Ann*",5,65509235,,"476,056",4.14,416pp,"Yes, I cried. What a beautiful novel. Sisters, love, falling out, reconciliation. We all have our failings but in the end, family.","May 19, 2023","May 28, 2023","May 19, 2023",Kindle Edition,"Mar 14, 2023"
Carrie Soto Is Back,"Reid, Taylor Jenkins*",2,65509235,0593158695,"641,999",4.20,371pp,"TENNIS. ""Sort of"" romance brewing. Family. But - overall, TENNIS. Blow by blow by blow (or match by match by match).TENNIS. ""Sort of"" romance brewing. Family. But - overall, TENNIS. Blow by blow by blow (or match by match by match)....more","Aug 05, 2023","Aug 11, 2023","May 16, 2023",Kindle Edition,"Aug 30, 2022"
Everything I Never Told You,"Ng, Celeste*",4,65509235,,"591,991",3.84,304pp,"Family dynamics are front and center in this novel. This Chinese-American family - James, Marilyn, Lydia, Nath and Hannah - well-developed characters,Family dynamics are front and center in this novel. This Chinese-American family - James, Marilyn, Lydia, Nath and Hannah - well-developed characters, nothing is easy in life. Pressures we put on ourselves and on others - this hits home....more","May 15, 2023","May 19, 2023","May 15, 2023",Kindle Edition,"Jun 26, 2014"
The Soulmate,"Hepworth, Sally*",2,65509235,1250229707,"169,797",3.79,327pp,Gabe has issues. Pippa is trusting. They are married. All falls apart. The end.,"May 12, 2023","May 13, 2023","May 13, 2023",Hardcover,"Apr 04, 2023"
Mayumu: Filipino American Desserts Remixed,"Balingit, Abi*",3,65509235,006324408X,146,4.36,288pp,"Cute, interesting recipes. Not sure that I'll actually make anything from this book as 75% of the recipes include ingredients that aren't readily avaiCute, interesting recipes. Not sure that I'll actually make anything from this book as 75% of the recipes include ingredients that aren't readily available near me. That said, the combo's of sweet, savory, salty in these desserts are intriguing and I may come back to this book at a later point to try a few recipes out....more","May 12, 2023","May 13, 2023","May 12, 2023",Kindle Edition,"Feb 28, 2023"
No Exit,"Adams, Taylor*",2,65509235,0062875671,"197,351",3.99,371pp,"Darby was most definitely determined to outwit the moronic kidnappers... but, just wow. We would all love to think we have these untapped reserves ofDarby was most definitely determined to outwit the moronic kidnappers... but, just wow. We would all love to think we have these untapped reserves of strength - this was bit too much of over & over trials that she overcame thru the course of one evening. Positive, this is a one evening read....more","May 08, 2023","May 09, 2023","May 08, 2023",Kindle Edition,"Jan 15, 2019"
The House of Eve,"Johnson, Sadeqa*",4,65509235,,"123,550",4.25,372pp,"So close. Loved this book - until the last half dozen pages. Eleanor and Ruby - dual story lines that intersect in a very special way. Only negative iSo close. Loved this book - until the last half dozen pages. Eleanor and Ruby - dual story lines that intersect in a very special way. Only negative is that the ""wrapping up"" in the ending was so unnecessary. That said, one of my favorite reads for 2023....more","May 07, 2023","May 12, 2023","May 07, 2023",Kindle Edition,"Feb 07, 2023"
I Have Some Questions For You,"Makkai, Rebecca*",3,65509235,0593490150,"131,425",3.60,448pp,Finished this morning and... think I've already forgotten the characters.Finished this morning and... think I've already forgotten the characters....more,May 2023,"May 07, 2023","May 01, 2023",Kindle Edition,"Feb 21, 2023"
I Could Live Here Forever,"Halperin, Hanna*",2,65509235,,"12,517",3.74,332pp,Loving an addict. Been there. Done that. Have to say that I'm hard pressed to understand what Leah saw in Charlie - other than the fact that she had lLoving an addict. Been there. Done that. Have to say that I'm hard pressed to understand what Leah saw in Charlie - other than the fact that she had little self worth and latched on to this highly destructive relationship. Wanted to love this book but there was so little to like about Charlie that it was just depressing read....more,"Apr 30, 2023","May 08, 2023","Apr 30, 2023",Kindle Edition,"Apr 11, 2023"
Everybody Knows,"Harper, Jordan*",3,65509235,,"10,931",3.72,352pp,"Different.. but left wanting more in way of ""wrap up"" to close this book out.Different.. but left wanting more in way of ""wrap up"" to close this book out....more","Apr 27, 2023",May 2023,"Apr 27, 2023",Kindle Edition,"Jan 10, 2023"
"Beyond That, the Sea","Spence-Ash, Laura*",4,65509235,1250854385,"47,638",4.22,350pp,"Loved the premise of this book.. And Bea was truly a delight. Somehow rest of the family on both sides of the Atlantic really weren't as well developeLoved the premise of this book.. And Bea was truly a delight. Somehow rest of the family on both sides of the Atlantic really weren't as well developed as I'd have liked.... But, nonetheless, tears were falling thruout the final pages. Hated for this to end....more","Apr 22, 2023","Apr 23, 2023","Apr 22, 2023",Kindle Edition,"Mar 21, 2023"
Dirty Laundry,"Bose, Disha*",3,65509235,0593497392,"12,973",3.27,304pp,"Very ""average"" set of characters. Can't say that I was really rooting for anyone. But do suppose it was poetic justice for Ciara to end up at the bottVery ""average"" set of characters. Can't say that I was really rooting for anyone. But do suppose it was poetic justice for Ciara to end up at the bottom of the stairs. Maybe more of the cast of characters should have ended up there as well....more","Apr 20, 2023","Apr 22, 2023","Apr 20, 2023",Kindle Edition,"Apr 04, 2023"
"Georgie, All Along","Clayborn, Kate*",3,65509235,149673730X,"61,858",3.79,366pp,"Cute, simple, standard romance.","Apr 18, 2023","Apr 20, 2023","Apr 18, 2023",Kindle Edition,"Jan 24, 2023"
The Gown,"Robson, Jennifer*",4,65509235,006267496X,"57,798",4.14,379pp,"Intriguing historical fiction - primarily following Ann & Miriam (roommates) who are embroiderers working on Princess Elizabeth's wedding dress. DualIntriguing historical fiction - primarily following Ann & Miriam (roommates) who are embroiderers working on Princess Elizabeth's wedding dress. Dual timeline with Ann's granddaughter, Heather, who is gifted sample embroidery post her grandmother's death and searches for the ""story"" behind this gift. Well-developed characters, interesting read....more","Apr 18, 2023","Jun 25, 2023","Apr 18, 2023",Kindle Edition,"Dec 31, 2018"
Spare,Prince Harry,1,65509235,0593593812,"410,074",3.84,557pp,"Positive:* Read via Libby (free library)... thankfully not a dime wasted.* Confirmed previous views of Harry & Meghan based on news/social mediaCons:*Positive:* Read via Libby (free library)... thankfully not a dime wasted.* Confirmed previous views of Harry & Meghan based on news/social mediaCons:* Poorly written* Felt like this was a kids tale of life... with only goal to attempt to gain sympathy from the audience - and failed miserably* Truly tone deaf, so much of ""poor me"" - for a 30+ year old man to be complaining about free housing, food provided by his father's chef, and constant moaning about the ""paps"". Yet this is a person with such immense privilege who truly can't see that at all. A father who was there for every single important event in his life - and surrounded by extended family - yet... always expecting someone else to be the one to reach out, to give more and more and more.* Harry says multiple times that he isn't the brightest. Yep, that is apparent....more","Apr 17, 2023","Apr 27, 2023","Apr 17, 2023",Kindle Edition,"Jan 10, 2023"
Pineapple Street,"Jackson, Jenny*",3,65509235,,"199,376",3.55,304pp,"Thought hard about my rating - this book was enjoyable, not sure that I really liked any of the characters, all flawed and 110% spoiled... But - goodThought hard about my rating - this book was enjoyable, not sure that I really liked any of the characters, all flawed and 110% spoiled... But - good escape reading....more","Apr 14, 2023","Apr 18, 2023","Apr 14, 2023",Kindle Edition,"Mar 07, 2023"
The Blue Bistro,"Hilderbrand, Elin*",3,65509235,1429905492,"67,694",3.98,428pp,None,"Apr 03, 2023","Apr 08, 2023","Apr 03, 2023",Kindle Edition,"May 25, 2010"
A Quiet Life,"Joella, Ethan*",4,65509235,198219099X,"14,669",4.05,320pp,None,"Apr 03, 2023","Apr 09, 2023","Apr 03, 2023",Kindle Edition,"Nov 29, 2022"
The Last Thing He Told Me,"Dave, Laura*",1,65509235,1501171364,"1,080,982",3.83,316pp,This book just didn't resonate with me - at all. Not believable and the writing was sub-par. Can't figure out how this book got such good ratings andThis book just didn't resonate with me - at all. Not believable and the writing was sub-par. Can't figure out how this book got such good ratings and how it was made into a series! Hard pass....more,"Apr 03, 2023","Apr 14, 2023","Apr 03, 2023",Kindle Edition,"May 04, 2021"
Twenty Years Later,"Donlea, Charlie*",3,65509235,,"151,101",4.20,304pp,None,"Apr 02, 2023","Apr 03, 2023","Apr 02, 2023",Kindle Edition,"Dec 28, 2021"
The Golden Spoon,"Maxwell, Jessa*",3,65509235,,"49,073",3.48,288pp,None,"Mar 29, 2023","Apr 02, 2023","Mar 29, 2023",Kindle Edition,"Mar 07, 2023"
"The Happy Ever After Playlist
        (The Friend Zone, #2)","Jimenez, Abby*",3,65509235,1538715635,"259,398",4.18,400pp,None,"Mar 27, 2023","Mar 29, 2023","Mar 27, 2023",Kindle Edition,"Apr 14, 2020"
Truly Madly Guilty,"Moriarty, Liane*",4,65509235,1250069815,"309,778",3.60,517pp,"Different - the split seconds that change lives, but split memories that bring back together. Makes you realize how important communication is in ourDifferent - the split seconds that change lives, but split memories that bring back together. Makes you realize how important communication is in our lives....more","Oct 18, 2018not set","Nov 04, 2018not set","Mar 20, 2023",Kindle Edition,"Jul 26, 2016"
What Lies in the Woods,"Marshall, Kate Alice*",4,65509235,1250859883,"177,778",3.95,336pp,"Nice thriller, great twists and turns. Rounded up from 3.5 stars.","Mar 12, 2023","Mar 13, 2023","Mar 13, 2023",Hardcover,"Jan 17, 2023"
Maame,"George, Jessica",4,65509235,,"117,066",4.05,320pp,"Delightful reading! Maame/Maddie is a nuanced lead, can't help but like her as she deals with her father's decline/death from Parkinson's, her mother'Delightful reading! Maame/Maddie is a nuanced lead, can't help but like her as she deals with her father's decline/death from Parkinson's, her mother's absence (to Ghana) on & off while growing up, her jobs, her friendships... Just enjoyable....more","Mar 10, 2023","Mar 18, 2023","Mar 10, 2023",ebook,"Jan 31, 2023"
The Last Housewife,"Winstead, Ashley*",3,65509235,1728229928,"57,788",3.70,424pp,None,"Mar 07, 2023","Mar 10, 2023","Mar 07, 2023",Kindle Edition,"Aug 16, 2022"
